user_id,user_idx,age,occupation,zip_prefix,interaction_count,mean_rating,age_scaled,interaction_count_scaled,mean_rating_scaled,gender_F,gender_M
1,0,1,10,480,53,4.188679245283019,0.0,0.014385353095030515,0.8038585559283631,1.0,0.0
2,1,56,16,700,129,3.7131782945736433,1.0,0.04751525719267655,0.6834047209839411,0.0,1.0
3,2,25,15,551,51,3.9019607843137254,0.43636363636363634,0.013513513513513514,0.7312270751256623,0.0,1.0
4,3,45,7,024,21,4.190476190476191,0.8,0.00043591979075850045,0.8043137578356979,0.0,1.0
5,4,25,20,554,198,3.1464646464646466,0.43636363636363634,0.07759372275501308,0.5398448981734202,0.0,1.0
6,5,50,9,551,71,3.9014084507042255,0.8909090909090909,0.022231909328683522,0.7310871580522396,1.0,0.0
7,6,35,1,068,31,4.32258064516129,0.6181818181818182,0.004795117698343505,0.83777843999106,0.0,1.0
8,7,25,12,114,139,3.884892086330935,0.43636363636363634,0.05187445510026155,0.7269032349178394,0.0,1.0
9,8,25,17,616,106,3.7358490566037736,0.43636363636363634,0.037489102005231034,0.6891476752799687,0.0,1.0
10,9,35,1,953,401,4.114713216957606,0.6181818181818182,0.16608544027898867,0.7851214918823034,1.0,0.0
11,10,25,1,040,137,3.2773722627737225,0.43636363636363634,0.05100261551874455,0.5730063973972118,1.0,0.0
12,11,25,12,327,23,3.8260869565217392,0.43636363636363634,0.0013077593722755014,0.7120067275830907,0.0,1.0
13,12,45,1,933,108,3.388888888888889,0.8,0.03836094158674804,0.6012557736720554,0.0,1.0
14,13,35,0,601,25,3.32,0.6181818181818182,0.002179598953792502,0.5838048498845265,0.0,1.0
15,14,25,7,229,201,3.3233830845771144,0.43636363636363634,0.07890148212728858,0.5846618524008135,0.0,1.0
16,15,35,0,206,35,3.0285714285714285,0.6181818181818182,0.006538796861377506,0.5099802045529528,1.0,0.0
17,16,50,1,953,211,4.075829383886256,0.8909090909090909,0.08326068003487358,0.7752714446767291,0.0,1.0
18,17,18,3,958,305,3.6491803278688524,0.3090909090909091,0.12423714036617263,0.667192764926362,1.0,0.0
19,18,1,10,480,255,3.5725490196078433,0.0,0.1024411508282476,0.6477805325363403,0.0,1.0
20,19,25,14,551,24,4.083333333333333,0.43636363636363634,0.0017436791630340018,0.7771723441108545,0.0,1.0
21,20,18,16,993,22,2.909090909090909,0.3090909090909091,0.0008718395815170009,0.47971341591433975,0.0,1.0
22,21,18,15,537,297,3.0673400673400675,0.3090909090909091,0.12074978204010461,0.5198010707537267,0.0,1.0
23,22,35,0,900,304,3.3157894736842106,0.6181818181818182,0.12380122057541412,0.5827382399416556,0.0,1.0
24,23,25,7,100,136,3.948529411764706,0.43636363636363634,0.05056669572798605,0.7430238333786171,1.0,0.0
25,24,18,4,016,85,3.7411764705882353,0.3090909090909091,0.02833478639930253,0.6904972150523028,0.0,1.0
26,25,25,7,231,400,2.96,0.43636363636363634,0.16564952048823017,0.4926096997690531,0.0,1.0
27,26,25,11,191,70,4.171428571428572,0.43636363636363634,0.021795989537925022,0.799488617617948,0.0,1.0
28,27,25,1,146,107,3.7570093457943927,0.43636363636363634,0.03792502179598954,0.6945079968055946,1.0,0.0
29,28,35,7,334,108,3.5833333333333335,0.6181818181818182,0.03836094158674804,0.6505124133949193,0.0,1.0
30,29,35,7,191,43,3.488372093023256,0.6181818181818182,0.01002615518744551,0.6264568451581718,1.0,0.0
